# Rime user dictionary
#@/db_name	luna_pinyin.userdb.kct
#@/db_type	userdb
#@/rime_version	0.9.7
#@/tick	125272
#@/user_id	10b11703-f11b-4ced-93f3-8972fad5e0e5
a 	啊	c=1470 d=8.42141 t=125272
rou jia mo 	肉夾饃	c=2 d=2.83114e-08 t=125272
rou se 	肉色	c=3 d=2.33464 t=125272
rou yan 	肉眼	c=1 d=1.49662e-214 t=125272
ru 	入	c=1 d=3.08336e-12 t=125272
ru 	如	c=12 d=6.41219e-67 t=125272
ru 	耨	c=4 d=2.30874e-140 t=125272
ru ce 	如廁	c=1 d=3.54278e-234 t=125272
ru chao 	如潮	c=0 d=1.16292e-247 t=125272
ru ci 	如此	c=5 d=0.995012 t=125272
ru er 	入耳	c=0 d=8.15599e-192 t=125272
ru gou 	乳溝	c=1 d=3.7295e-250 t=125272
ru gu 	入股	c=2 d=2.89266e-55 t=125272
ru gu o 	入股哦	c=5 d=8.42637e-62 t=125272
ru guo 	如果	c=121 d=1.15719 t=125272
ru hao 	濡毫	c=0 d=1.15712e-247 t=125272
ru he 	如何	c=185 d=2.25862 t=125272
ru hu 	入戶	c=1 d=1.63283e-180 t=125272
ru huo 	入活	c=1 d=1.04085e-118 t=125272
ru jia 	如家	c=4 d=3.76847e-49 t=125272
ru kou 	入口	c=4 d=7.64515e-71 t=125272
ru ku 	入庫	c=2 d=4.06566e-74 t=125272
ru men 	入門	c=12 d=0.000567086 t=125272
ru ming 	乳名	c=1 d=9.22751e-202 t=125272
ru shang 	如上	c=1 d=1.17748e-216 t=125272
ru shi 	如是	c=1 d=5.49448e-44 t=125272
ru shi shuo 	如是說	c=1 d=2.88431e-21 t=125272
ru shou 	入手	c=2 d=0.722527 t=125272
ru shuo 	如說	c=1 d=1.03566e-118 t=125272
ru ti 	如題	c=0 d=2.25705e-225 t=125272
ru ti shi 	如題是	c=1 d=2.26837e-224 t=125272
ru tu 	如圖	c=1 d=4.80766e-120 t=125272
ru wei 	入圍	c=1 d=6.15538e-233 t=125272
ru xia 	如下	c=3 d=0.00403614 t=125272
ru xiang sui su 	入鄉隨俗	c=1 d=2.4188e-156 t=125272
ru zang 	入藏	c=2 d=1.37911e-189 t=125272
ru zhi 	入職	c=5 d=4.56231e-92 t=125272
ru zhu 	入住	c=4 d=0.000392637 t=125272
ruan 	阮	c=3 d=7.6984e-110 t=125272
ruan jian 	軟件	c=40 d=2.37297e-08 t=125272
ruan jian yuan 	軟件院	c=1 d=5.71951e-75 t=125272
ruan lian 	軟連	c=1 d=3.55192e-88 t=125272
ruan mu 	軟木	c=1 d=1.40367e-48 t=125272
ruan wo 	軟臥	c=6 d=1.95465e-05 t=125272
ruan zuo 	軟座	c=1 d=3.75378e-150 t=125272
rui 	瑞	c=1 d=3.0749e-156 t=125272
rui jie 	瑞傑	c=4 d=1.512e-11 t=125272
run 	潤	c=0 d=1.71172e-236 t=125272
ruo 	弱	c=9 d=1.70707e-12 t=125272
ruo 	若	c=2 d=8.08027e-52 t=125272
ruo bao 	弱爆	c=8 d=9.37435e-10 t=125272
ruo bao 	若包	c=2 d=6.65735e-126 t=125272
ruo gan 	若干	c=3 d=1.03755e-114 t=125272
ruo gan ci 	若干次	c=3 d=4.51676e-121 t=125272
ruo gan tian 	弱甘甜	c=1 d=2.10568e-172 t=125272
ruo ran 	若然	c=1 d=1.41307e-244 t=125272
ruo ruo 	弱弱	c=1 d=1.88268e-208 t=125272
ruo shi 	弱勢	c=1 d=7.48859e-216 t=125272
ruo zhi 	弱智	c=1 d=2.96862e-07 t=125272
sa 	撒	c=2 d=0.57695 t=125272
sa fa ri 	撒發日	c=2 d=1.15349e-121 t=125272
sa huang 	撒謊	c=1 d=0.489192 t=125272
sa huang na ge 	撒謊哪個	c=1 d=3.17308e-115 t=125272
sa huang na ge rang 	撒謊哪個讓	c=1 d=3.18897e-114 t=125272
sa huang na ge wa gong 	撒謊哪個瓦工	c=1 d=1.07135e-193 t=125272
sa hui gu niang 	撒灰姑娘	c=1 d=1.94069e-213 t=125272
sa ye 	撒野	c=2 d=4.40599e-123 t=125272
sai 	塞	c=1 d=3.21915e-19 t=125272
sai 	賽	c=3 d=4.80618e-87 t=125272
sai dao 	賽道	c=1 d=0.000581442 t=125272
sai er 	塞爾	c=3 d=3.98194e-45 t=125272
sai er 	賽爾	c=3 d=2.05618e-10 t=125272
sai er xiao yuan 	賽爾校園	c=1 d=3.94058e-45 t=125272
sai fa 	賽發	c=1 d=2.93679e-86 t=125272
sai han 	賽罕	c=0 d=5.59165e-251 t=125272
sai han ba 	賽罕壩	c=1 d=5.61968e-250 t=125272
san 	三	c=22 d=5.93288e-06 t=125272
san bai 	三百	c=2 d=1.84821e-12 t=125272
san bao 	三包	c=1 d=2.25757e-21 t=125272
san bao 	三寶	c=0 d=1.55726e-153 t=125272
san bao dian 	三寶點	c=1 d=1.56508e-152 t=125272
san biao 	三表	c=0 d=5.07344e-107 t=125272
san biao ge 	三表哥	c=1 d=5.09888e-106 t=125272
san bu 	散步	c=2 d=5.25237e-102 t=125272
san cai 	散財	c=1 d=1.7397e-73 t=125272
san ceng 	三層	c=1 d=3.44101e-244 t=125272
san ci 	三次	c=2 d=3.04295e-92 t=125272
san deng 	三等	c=0 d=3.12447e-198 t=125272
san deng zuo 	三等做	c=1 d=3.14012e-197 t=125272
san dian 	三點	c=3 d=4.9874e-140 t=125272
san duan lun fa 	三段論法	c=3 d=1.66219e-125 t=125272
san ge 	三個	c=5 d=8.63851e-139 t=125272
san ge 	傘哥	c=1 d=1.81198e-52 t=125272
san ge yue 	三個月	c=4 d=0.000397625 t=125272
san guan 	三關	c=3 d=1.40711e-165 t=125272
san guan beng ta 	三關崩塌	c=1 d=3.4974e-200 t=125272
san guo 	三國	c=1 d=3.1271e-60 t=125272
san huan 	三環	c=6 d=8.54239e-118 t=125272
san ji pian 	三級片	c=2 d=1.57853e-39 t=125272
san jian ke 	三劍客	c=1 d=4.32036e-98 t=125272
san jiao 	三角	c=1 d=8.75155e-226 t=125272
san li tun 	三里屯	c=1 d=6.51802e-230 t=125272
san lian 	三聯	c=0 d=1.07738e-113 t=125272
san lian ji 	三聯擊	c=1 d=1.08278e-112 t=125272
san man 	散漫	c=1 d=9.98373e-70 t=125272
san ming zhi 	三明治	c=1 d=1.21371e-102 t=125272
san nian 	三年	c=3 d=4.07278e-10 t=125272
san nian qian 	三年前	c=2 d=6.40441e-224 t=125272
san qian 	三千	c=1 d=6.2111e-192 t=125272
san qian duo 	三千多	c=1 d=9.83884e-192 t=125272
san qu 	三區	c=9 d=1.55981e-16 t=125272
san re 	散熱	c=1 d=1 t=124513
san ren 	三人	c=0 d=2.21703e-191 t=125272
san ren jian 	三人見	c=1 d=2.22814e-190 t=125272
san san xin 	散散心	c=1 d=2.94612e-182 t=125272
san shi 	三十	c=1 d=9.34217e-142 t=125272
san shi hao 	三十好	c=1 d=9.38862e-141 t=125272
san si 	三四	c=1 d=6.45929e-153 t=125272
san si tian 	三四天	c=1 d=4.99657e-191 t=125272
san tian 	三天	c=5 d=3.81502e-17 t=125272
san tiao 	三條	c=1 d=3.18725e-137 t=125272
san wan 	三晚	c=1 d=1.60186e-190 t=125272
san wan 	三萬	c=1 d=2.22776e-188 t=125272
san wei 	三位	c=2 d=2.34259e-07 t=125272
san xian 	三線	c=1 d=1.93111e-07 t=125272
san xing 	三性	c=1 d=1.27204e-66 t=125272
san xing 	三星	c=3 d=9.23685e-67 t=125272
san ya 	三亞	c=15 d=1.55614e-18 t=125272
san yao su 	三要素	c=1 d=6.07564e-21 t=125272
san yue 	三月	c=4 d=3.04885e-56 t=125272
san zhan 	三站	c=1 d=2.08757e-188 t=125272
san zhi 	三指	c=1 d=6.11799e-132 t=125272
san zhong 	三種	c=2 d=8.91861e-33 t=125272
san zu 	三組	c=5 d=9.43574e-64 t=125272
san zuo 	三座	c=0 d=5.63376e-16 t=125272
sang 	桑	c=1 d=4.33347e-163 t=125272
sang an gei 	桑安給	c=1 d=8.50902e-72 t=125272
sang can 	桑蠶	c=0 d=1.5049e-221 t=125272
sang chong 	桑蟲	c=0 d=7.09985e-90 t=125272
sang jia 	喪家	c=1 d=1.47328e-88 t=125272
sang ou 	喪偶	c=0 d=4.01515e-90 t=125272
sang ou da ou 	喪偶大偶	c=1 d=4.03528e-89 t=125272
sang shuo 	桑說	c=1 d=1.24918e-88 t=125272
sang zi 	嗓子	c=3 d=9.34113e-33 t=125272
sao 	掃	c=3 d=1.28492e-52 t=125272
sao 	騷	c=1 d=3.24818e-07 t=125272
sao bao 	騷包	c=3 d=9.03159e-11 t=125272
sao chu 	掃除	c=1 d=1.15028e-147 t=125272
sao cu 	掃粗	c=1 d=1.14455e-147 t=125272
sao di 	掃地	c=1 d=2.74478e-114 t=125272
sao di da ma 	掃地大媽	c=1 d=6.99749e-124 t=125272
sao zi 	嫂子	c=1 d=3.54418e-33 t=125272
se 	色	c=6 d=1.82429e-65 t=125272
se ai rong chong 	色埃榮衝	c=1 d=3.00441e-236 t=125272
se da 	色達	c=1 d=1.04582e-27 t=125272
se gui 	色鬼	c=1 d=1.97046e-09 t=125272
se kuai 	色塊	c=1 d=0.0184074 t=125272
se lang 	色狼	c=1 d=2.99845e-07 t=125272
sei 	塞	c=1 d=5.59713e-144 t=125272
sen lin gong yuan 	森林公園	c=1 d=5.67615e-250 t=125272
sha 	傻	c=2 d=1.82971e-137 t=125272
sha 	啥	c=47 d=0.51198 t=125272
sha bi 	傻逼	c=23 d=5.99557e-12 t=125272
sha fa 	沙發	c=10 d=0.000151489 t=125272
sha gua 	傻瓜	c=2 d=5.011e-78 t=125272
sha jun 	殺菌	c=1 d=1.33493e-75 t=125272
sha la 	沙拉	c=1 d=7.70583e-82 t=125272
sha la 	莎拉	c=1 d=7.78327e-82 t=125272
sha mo 	沙漠	c=2 d=1.79134e-123 t=125272
sha sheng 	殺生	c=2 d=9.70656e-201 t=125272
sha shi hou 	啥時候	c=8 d=1.35083e-126 t=125272
sha shou 	殺手	c=1 d=8.05144e-10 t=125272
sha si 	殺死	c=1 d=2.29552e-70 t=125272
sha si bi er 	殺死比爾	c=1 d=7.36926e-86 t=125272
sha tan 	沙灘	c=9 d=8.11696e-164 t=125272
sha xiao 	傻笑	c=1 d=1 t=123570
sha yang 	啥樣	c=2 d=4.28408e-226 t=125272
sha zhu 	殺豬	c=0 d=3.52845e-158 t=125272
sha zhu dao 	殺豬刀	c=1 d=3.54614e-157 t=125272
sha zi 	啥子	c=1 d=3.23697e-172 t=125272
shai 	曬	c=19 d=7.61545e-112 t=125272
shai cheng 	曬成	c=1 d=2.87943e-148 t=125272
shai shang 	曬傷	c=6 d=6.70187e-184 t=125272
shai tu 	曬圖	c=1 d=3.89436e-112 t=125272
shai xuan 	篩選	c=3 d=1.21028e-10 t=125272
shai zhe 	曬着	c=1 d=3.34621e-92 t=125272
shan 	刪	c=16 d=0.0536191 t=125272
shan 	山	c=2 d=2.67317e-09 t=125272
shan 	扇	c=1 d=3.70164e-15 t=125272
shan 	閃	c=4 d=0.000880518 t=125272
shan bao 	善報	c=1 d=5.3077e-137 t=125272
shan chang 	擅長	c=3 d=1.97739e-109 t=125272
shan chu 	刪除	c=41 d=0.364291 t=125272
shan chu fen zhi 	刪除分支	c=1 d=5.86329e-73 t=125272
shan chuan 	山川	c=1 d=1.41822e-228 t=125272
shan dao 	山倒	c=1 d=7.83721e-75 t=125272
shan diao 	刪掉	c=1 d=1.62213e-44 t=125272
shan guo 	閃過	c=0 d=1.47353e-238 t=125272
shan hu 	珊瑚	c=1 d=2.25718e-19 t=125272
shan jiao 	山腳	c=3 d=5.57043e-179 t=125272
shan jie ren yi 	善解人意	c=1 d=3.38074e-07 t=125272
shan kai 	閃開	c=1 d=1.07764e-203 t=125272
shan liang 	善良	c=1 d=1.78776e-217 t=125272
shan nan 	山南	c=0 d=1.39572e-188 t=125272
shan nan ge 	山南個	c=1 d=1.40271e-187 t=125272
shan qu 	山區	c=1 d=6.31269e-177 t=125272
shan shan 	杉杉	c=3 d=2.85756e-29 t=125272
shan tie 	刪貼	c=2 d=0.0195457 t=125272
shan tou 	山頭	c=1 d=2.91531e-176 t=125272
shan tou 	汕頭	c=1 d=2.90077e-176 t=125272
shan wan 	刪玩	c=1 d=1.08739e-15 t=125272
shan xi 	陝西	c=1 d=2.60134e-159 t=125272
shan xin 	善心	c=1 d=1.82405e-130 t=125272
shan zhai 	山寨	c=6 d=5.96935e-78 t=125272
shan zhai pin 	山寨品	c=1 d=5.75507e-236 t=125272
shan zhu 	山竹	c=1 d=6.6307e-167 t=125272
shang 	上	c=260 d=0.234664 t=125272
shang 	傷	c=6 d=9.73391e-66 t=125272
shang 	商	c=1 d=1.38962e-253 t=125272
shang ban 	上班	c=81 d=0.416875 t=125272
shang ban nian 	上半年	c=4 d=0.000246389 t=125272
shang bei 	上北	c=1 d=1.60705e-147 t=125272
shang bei 	傷悲	c=1 d=8.56423e-148 t=125272
shang bei zi 	上輩子	c=1 d=3.85468e-21 t=125272
shang bu qi 	傷不起	c=4 d=2.38538e-110 t=125272
shang chan 	上產	c=4 d=3.79938e-224 t=125272
shang chang 	商場	c=2 d=2.30082e-09 t=125272
shang chua 	上欻	c=1 d=7.61342e-234 t=125272
shang chuan 	上傳	c=205 d=0.0269344 t=125272
shang chuan qu yu 	上傳區域	c=1 d=1.70289e-233 t=125272
shang chuan xin zhao pian 	上傳新照片	c=1 d=2.22427e-52 t=125272
shang chuan ye 	上傳頁	c=10 d=1.46307e-209 t=125272
shang chuan zhong 	上傳中	c=6 d=4.22847e-46 t=125272
shang chuang 	上牀	c=2 d=2.41837e-07 t=125272
shang ci 	上次	c=21 d=0.0916297 t=125272
shang de liao ting tang 	上得了廳堂	c=1 d=0.179964 t=125272
shang di 	上地	c=6 d=6.8802e-131 t=125272
shang di 	上帝	c=2 d=1.35055e-06 t=125272
shang dian 	商店	c=3 d=8.02111e-134 t=125272
shang ding 	尚鼎	c=2 d=6.24622e-175 t=125272
shang fa 	商法	c=1 d=1.60322e-200 t=125272
shang fen 	上墳	c=1 d=1.23537e-163 t=125272
shang gan 	傷肝	c=1 d=1.1158e-230 t=125272
shang ge 	上個	c=4 d=2.29566e-12 t=125272
shang ge yue 	上個月	c=1 d=2.58732e-213 t=125272
shang guo 	上過	c=1 d=5.97729e-123 t=125272
shang hai 	上海	c=38 d=0.399228 t=125272
shang hai 	傷害	c=3 d=1.01387e-06 t=125272
shang he 	商河	c=1 d=5.71038e-115 t=125272
shang huan 	傷患	c=1 d=1.32696e-34 t=125272
shang huo 	上火	c=3 d=3.69727e-148 t=125272
shang huo che 	上火車	c=1 d=2.84363e-236 t=125272
shang jia 	上架	c=1 d=4.07444e-85 t=125272
shang jia 	商家	c=1 d=6.48925e-178 t=125272
shang jiao 	上交	c=1 d=1.29399e-179 t=125272
shang jiao 	上繳	c=1 d=2.86602e-05 t=125272
shang ke 	上課	c=12 d=1.20441e-41 t=125272
shang lai 	上來	c=3 d=1.37521e-13 t=125272
shang le 	上了	c=1 d=1.35033e-151 t=125272
shang liang 	商量	c=7 d=5.46539e-11 t=125272
shang men 	上門	c=4 d=5.6173e-10 t=125272
shang mian 	上面	c=51 d=0.665676 t=125272
shang nao jin 	傷腦筋	c=5 d=1.88558e-17 t=125272
shang ni 	商擬	c=1 d=1.61103e-22 t=125272
shang pin 	商品	c=1 d=6.94157e-206 t=125272
shang qian 	上千	c=1 d=1.20192e-193 t=125272
shang qu 	上去	c=12 d=9.7167e-06 t=125272
shang qu shi 	上去是	c=1 d=4.06777e-07 t=125272
shang ren 	傷人	c=1 d=1.12463e-117 t=125272
shang sha 	商廈	c=1 d=7.09697e-143 t=125272
shang shang 	上上	c=0 d=3.13629e-213 t=125272
shang shang zhou 	上上周	c=1 d=3.15201e-212 t=125272
shang shen 	傷身	c=1 d=6.08662e-101 t=125272
shang sheng 	上升	c=2 d=4.51259e-22 t=125272
shang shi 	上市	c=8 d=3.17084e-38 t=125272
shang shi hou 	上時候	c=2 d=2.18091e-96 t=125272
shang shi qian 	上市前	c=1 d=2.91023e-38 t=125272
shang shou 	上手	c=1 d=1.27968e-254 t=125272
shang shu 	上述	c=5 d=4.6316e-181 t=125272
shang si 	上司	c=1 d=6.50162e-171 t=125272
shang si ni 	上司你	c=1 d=4.06534e-235 t=125272
shang tiao 	上條	c=1 d=1.79763e-76 t=125272
shang tiao 	上調	c=1 d=1.87476e-129 t=125272
shang tong 	傷痛	c=1 d=2.15699e-73 t=125272
shang wan 	上萬	c=3 d=2.98481e-139 t=125272
shang wang 	上網	c=30 d=0.245367 t=125272
shang wang ni 	上網你	c=1 d=8.20133e-168 t=125272
shang wei 	上位	c=1 d=1.34844e-164 t=125272
shang wu 	上午	c=8 d=8.31939e-23 t=125272
shang wu 	商務	c=0 d=3.23917e-181 t=125272
shang wu ju 	商務局	c=1 d=1.56038e-58 t=125272
shang wu qian 	商務簽	c=1 d=3.25541e-180 t=125272
shang xia 	上下	c=3 d=0.179964 t=125272
shang xia ban 	上下班	c=2 d=0.386741 t=125272
shang xia wen 	上下文	c=2 d=8.59217e-10 t=125272
shang xian 	上線	c=38 d=0.0867261 t=125272
shang xian 	上限	c=1 d=3.9434e-24 t=125272
shang xian hou 	上線後	c=1 d=4.2498e-22 t=125272
shang xin 	上心	c=1 d=7.29547e-144 t=125272
shang xin 	傷心	c=5 d=5.57408e-130 t=125272
shang xin a 	傷心啊	c=8 d=1.45719e-194 t=125272
shang xue 	上學	c=5 d=8.78189e-61 t=125272
shang xun 	上旬	c=1 d=9.24292e-251 t=125272
shang yan 	上演	c=1 d=1.21029e-157 t=125272
shang ye 	商業	c=2 d=2.36557e-12 t=125272
shang yi shi 	上意識	c=0 d=1.33771e-218 t=125272
shang yi shi o 	上意識哦	c=1 d=1.34442e-217 t=125272
shang you 	上有	c=1 d=3.72391e-203 t=125272
shang yue chu 	上月初	c=1 d=8.79214e-251 t=125272
shang yue di 	上月底	c=1 d=8.70466e-251 t=125272
shang zhe 	上著	c=1 d=1.14653e-138 t=125272
shang zhou 	上週	c=12 d=0.000528747 t=125272
shao 	哨	c=2 d=9.84743e-160 t=125272
shao 	少	c=38 d=3.94688e-05 t=125272
shao 	燒	c=11 d=9.01091e-11 t=125272
shao ba 	燒吧	c=1 d=5.87685e-12 t=125272
shao bao 	燒包	c=1 d=7.24768e-08 t=125272
shao da 	少打	c=1 d=4.54618e-21 t=125272
shao dang 	少黨	c=3 d=1.64357e-22 t=125272
shao deng 	稍等	c=62 d=0.255944 t=125272
shao deng ne ge 	稍等呢個	c=1 d=4.15975e-211 t=125272
shao dian 	少點	c=2 d=2.22412e-110 t=125272
shao duo li 	哨哆哩	c=1 d=6.98396e-160 t=125272
shao fu 	少婦	c=1 d=4.06946e-100 t=125272
shao guan 	韶關	c=1 d=1.94973e-61 t=125272
shao hou 	稍後	c=2 d=5.54749e-48 t=125272
shao kan 	少看	c=2 d=6.51772e-104 t=125272
shao kao 	燒烤	c=6 d=0.000303539 t=125272
shao liang 	少量	c=1 d=6.27419e-252 t=125272
shao nv 	少女	c=3 d=8.01128e-10 t=125272
shao qian 	燒錢	c=6 d=4.27665e-96 t=125272
shao shu 	少數	c=1 d=2.27747e-36 t=125272
shao wan 	燒玩	c=1 d=2.26828e-106 t=125272
shao wei 	稍微	c=4 d=5.44943e-06 t=125272
shao xu 	少許	c=1 d=1.89734e-211 t=125272
she 	佘	c=1 d=1.42395e-11 t=125272
she 	射	c=1 d=1.12632e-164 t=125272
she 	社	c=0 d=3.53626e-184 t=125272
she 	設	c=14 d=5.77029e-32 t=125272
she bao 	社保	c=10 d=0.105399 t=125272
she bei 	設備	c=12 d=1.41637e-07 t=125272
she ben 	捨本	c=2 d=2.69436e-208 t=125272
she bu de 	捨不得	c=4 d=0.216601 t=125272
she diao 	射鵰	c=1 d=2.05626e-128 t=125272
she ding 	設定	c=1 d=1.55552e-80 t=125272
she hui 	社會	c=6 d=3.20299e-48 t=125272
she ji 	射雞	c=1 d=2.85561e-21 t=125272
she ji 	涉及	c=1 d=5.18332e-64 t=125272
she ji 	設計	c=109 d=2.16051 t=125272
she ji gao 	設計稿	c=1 d=3.11806e-26 t=125272
she ji pi fu 	設計皮膚	c=1 d=3.18684e-253 t=125272
she ji shi 	設計師	c=12 d=0.00465413 t=125272
she ji zhi 	設機制	c=1 d=2.07632e-242 t=125272
she ji zu 	設機組	c=1 d=1.95539e-242 t=125272
she ji zu 	設計租	c=3 d=1.78281e-99 t=125272
she jiao 	社交	c=1 d=1 t=123658
she men 	射門	c=5 d=1.83028e-170 t=125272
she qu 	社區	c=1 d=1.53055e-213 t=125272
she shou 	射手	c=2 d=6.69593e-10 t=125272
she shou wang 	射手忘	c=1 d=2.55e-101 t=125272
she shou wang 	射手網	c=1 d=3.43267e-98 t=125272
she tou 	舌頭	c=1 d=0.00869506 t=125272
she wei 	設爲	c=8 d=3.41693e-44 t=125272
she wen 	舌吻	c=2 d=1.23138e-117 t=125272
she ying 	攝影	c=1 d=3.56984e-59 t=125272
she ying shi 	攝影師	c=1 d=1.95923e-30 t=125272
she you 	舍友	c=1 d=3.79874e-143 t=125272
she zhi 	設置	c=37 d=0.000423686 t=125272
she zhi ye 	設置頁	c=2 d=4.24388e-35 t=125272
shen 	沈	c=3 d=1.64614e-11 t=125272
shen 	深	c=1 d=1.05544e-164 t=125272
shen 	腎	c=11 d=0.000110003 t=125272
shen 	身	c=2 d=3.71893e-11 t=125272
shen ai 	深愛	c=0 d=3.13636e-37 t=125272
shen ban 	身板	c=6 d=1.28342e-88 t=125272
shen bian 	身邊	c=7 d=3.43911e-20 t=125272
shen cai 	身材	c=1 d=6.96999e-254 t=125272
shen di 	審諦	c=1 d=5.42507e-159 t=125272
shen du 	深度	c=1 d=3.37536e-47 t=125272
shen en 	神恩	c=1 d=1.7495e-139 t=125272
shen fen 	身份	c=3 d=7.41323e-09 t=125272
shen fen zheng 	身份證	c=13 d=0.22313 t=125272
shen gao 	身高	c=2 d=1.91269e-100 t=125272
shen gong 	神功	c=1 d=7.00441e-165 t=125272
shen jing 	神經	c=2 d=2.02883e-117 t=125272
shen ke 	深刻	c=4 d=2.45534e-09 t=125272
shen ma 	神馬	c=4 d=7.16828e-54 t=125272
shen me 	什麼	c=464 d=1.79459 t=125272
shen mei 	審美	c=1 d=3.33247e-73 t=125272
shen mi 	神秘	c=1 d=3.36907e-172 t=125272
shen qi 	神奇	c=2 d=2.57009e-09 t=125272
shen qing 	申請	c=13 d=0.079659 t=125272
shen qing ce shi 	申請測試	c=4 d=3.17881e-194 t=125272
shen ri kuai le 	腎日快樂	c=1 d=1.36352e-89 t=125272
shen ru 	深入	c=5 d=3.93296e-81 t=125272
shen se 	深色	c=1 d=0.985112 t=125272
shen shang 	身上	c=10 d=6.69159e-10 t=125272
shen shen 	深深	c=2 d=2.36503e-68 t=125272
shen shou 	伸手	c=0 d=4.73628e-239 t=125272
shen shou 	身手	c=0 d=1.40993e-72 t=125272
shen shou dang 	伸手當	c=1 d=4.76002e-238 t=125272
shen shui 	深水	c=1 d=5.55555e-27 t=125272
shen shui qu 	深水去	c=3 d=7.97166e-128 t=125272
shen shui zheng 	深水證	c=1 d=3.7009e-42 t=125272
shen si 	神似	c=1 d=2.88088e-07 t=125272
shen ti 	身體	c=5 d=6.45113e-50 t=125272
shen tong 	申通	c=7 d=4.31164e-23 t=125272
shen tong 	神通	c=0 d=3.03293e-113 t=125272
shen wai 	身外	c=1 d=4.87653e-199 t=125272
shen xi 	深吸	c=1 d=1.07306e-06 t=125272
shen xiao 	審校	c=1 d=7.07813e-53 t=125272
shen xin 	身心	c=1 d=7.25731e-53 t=125272
shen yong 	慎用	c=1 d=5.67436e-70 t=125272
shen zhen 	深圳	c=30 d=8.89462e-64 t=125272
shen zi 	身子	c=0 d=1.63277e-63 t=125272
sheng 	剩	c=6 d=8.77667e-48 t=125272
sheng 	勝	c=1 d=3.57128e-05 t=125272
sheng 	昇	c=1 d=2.99615e-233 t=125272
sheng 	生	c=24 d=0.000401622 t=125272
sheng 	省	c=8 d=0.0126181 t=125272
sheng 	聲	c=1 d=8.15599e-191 t=125272
sheng bing 	生病	c=2 d=1.69738e-26 t=125272
sheng chan 	生產	c=1 d=1.31355e-179 t=125272
sheng chan li 	生產力	c=1 d=2.63538e-253 t=125272
sheng cheng 	生成	c=6 d=6.00374e-28 t=125272
sheng cun 	生存	c=2 d=3.48199e-169 t=125272
sheng dan 	生蛋	c=1 d=3.17618e-08 t=125272
sheng dan 	聖誕	c=8 d=2.96425e-39 t=125272
sheng di 	聖地	c=1 d=5.53466e-159 t=125272
sheng dian 	省電	c=1 d=1.46478e-20 t=125272
sheng dong 	聲動	c=1 d=6.0038e-175 t=125272
sheng fan 	剩飯	c=2 d=4.19096e-112 t=125272
sheng fen 	省份	c=0 d=1.58975e-43 t=125272
sheng fen zheng 	省份整	c=1 d=1.59771e-42 t=125272
sheng fou 	生否	c=1 d=3.99664e-211 t=125272
sheng guo 	勝過	c=1 d=3.38261e-131 t=125272
sheng guo 	生過	c=1 d=3.41661e-131 t=125272
sheng hui 	省會	c=1 d=4.8976e-44 t=125272
sheng huo 	生活	c=34 d=3.17618e-08 t=125272
sheng huo fei 	生活費	c=2 d=3.43534e-19 t=125272
sheng huo zhong 	生活中	c=1 d=1.40251e-09 t=125272
sheng ji 	升級	c=19 d=1.09003e-14 t=125272
sheng ka 	聲卡	c=2 d=1.06749e-33 t=125272
sheng li 	勝利	c=1 d=3.51074e-186 t=125272
sheng liang 	生亮	c=1 d=1.43109e-11 t=125272
sheng lv 	勝率	c=1 d=1.009e-164 t=125272
sheng lve 	省略	c=1 d=1.01405e-164 t=125272
sheng lve hao 	省略號	c=1 d=1.89826e-246 t=125272
sheng meng 	生猛	c=1 d=2.62747e-12 t=125272
sheng ming 	生命	c=1 d=1.31891e-80 t=125272
sheng mu 	聲母	c=4 d=2.36188e-23 t=125272
sheng peng 	生鵬	c=1 d=1.72191e-11 t=125272
sheng qi 	生氣	c=11 d=1.71065e-22 t=125272
sheng qian 	省錢	c=3 d=2.77648e-06 t=125272
sheng ri 	生日	c=22 d=0.273898 t=125272
sheng ri kuai le 	生日快樂	c=1 d=1.37036e-89 t=125272
sheng sheng 	生生	c=0 d=8.15599e-192 t=125272
sheng sheng ru er 	生生入耳	c=1 d=8.19687e-191 t=125272
sheng shi 	省市	c=1 d=2.10911e-103 t=125272
sheng xia 	剩下	c=8 d=2.92392e-05 t=125272
sheng xia de 	剩下的	c=1 d=9.53669e-178 t=125272
sheng xia shui 	剩下誰	c=1 d=1 t=123395
sheng xiao 	生效	c=5 d=9.89985e-110 t=125272
sheng xiao shi jian 	生效時間	c=3 d=1.55315e-209 t=125272
sheng xing 	盛行	c=1 d=2.06637e-215 t=125272
sheng xu 	升序	c=2 d=7.45421e-64 t=125272
sheng yin 	聲音	c=10 d=2.37662e-08 t=125272
sheng yu 	剩餘	c=11 d=0.126043 t=125272
sheng yuan 	生源	c=1 d=3.97628e-151 t=125272
sheng yue 	聲樂	c=1 d=6.01518e-21 t=125272
sheng zhi 	升值	c=1 d=4.44574e-111 t=125272
sheng zi 	繩子	c=1 d=5.69758e-118 t=125272
shi 	事	c=121 d=0.470979 t=125272
shi 	十	c=1 d=1.74979e-141 t=125272
shi 	史	c=1 d=4.53588e-200 t=125272
shi 	室	c=18 d=0.305231 t=125272
shi 	屎	c=1 d=9.66436e-158 t=125272
shi 	市	c=0 d=2.40501e-31 t=125272
shi 	師	c=2 d=2.86993e-21 t=125272
shi 	式	c=3 d=0.722527 t=125272
shi 	是	c=1590 d=4.9598 t=125272
shi 	時	c=19 d=0.00927901 t=125272
